Costo - Conto,Costo - Descrizione,Costo - Importo €,Ricavo - Conto,Ricavo - Descrizione,Ricavo - Importo €
07020108001,Energia elettrica,3431.35,06010101001,Vendita merci commercio,615.17
07020110001,Acqua,211.51,06020102001,Rimanenze finali merci destinate alla vendita,487900.0
07020114001,Manutenzione autovetture,881.5,06050102001,Proventi per noleggi attivi attrezzature,18000.0
07020114006,Manutenzione autocarri,1527.9,06050103001,Proventi immobiliari,56760.89
07020132001,Rimborso spese amministratori indennità forfettaria,5066.32,06050107003,Contributo in conto scambio e tariffa incentivante GSE,8166.75
07020133002,Premi INAIL,751.23,06050119001,Arrotondamenti e abbuoni attivi vari,2.17
07020147001,Spese legali e consulenze,1000.0,08030402008,Interessi attivi su c/ordinari bancari,0.15
07020147002,Rimborsi a legali e consulenti,180.16,10010202001,Sopravvenienze attive,10259.52
07020147005,Spese per consulenze contabili e amm.ve,3296.8,,,
07020147006,Cassa Previdenza,89.82,,,
07020153001,Assicurazioni diverse,375.92,,,
07020153002,Assicurazione autocarri,2965.06,,,
07020153004,Assicurazione infortuni,772.88,,,
07020153005,Assicurazione incendi e furti,482.85,,,
07020153006,Assicurazione infortuni autovetture,196.23,,,
07020153012,Assicurazioni autovetture,1598.32,,,
07020154001,Spese varie per servizi,113.8,,,
07020159001,Pedaggi autostradali,4.0,,,
07040201002,Oneri diversi di gestione,96.24,,,
07050213001,Amm.to ordinario fabbricati industriali,15740.12,,,
07050214001,Amm.to ordinario mobili arredi e dotazioni,68.85,,,
07050401001,Accantonamento per rischi su crediti,400.0,,,
07060101001,Rimanenze iniziali merci destinate alla vendita,487900.0,,,
07090101001,IVA indetraibile,241.5,,,
07090103001,Imposte di bollo,170.0,,,
07090107001,Imposta di registro contratti di locazione,974.0,,,
07090107003,Imposta di registro,400.0,,,
07090121001,Multe e sanzioni indeducibili,827.75,,,
07090124002,Costi indeducibili,59.29,,,
08030402001,Interessi passivi su c/ordinari bancari,136.0,,,
08030402006,"Interessi passivi su altri debiti (fornit., Erario, enti)",288.3,,,
08030402007,Interessi passivi di ritardato pagamento,31.84,,,
08030408005,Spese bancarie x add spese c/c ord. e c/ant,529.13,,,
10020302002,Sopravvenienze passive indeducibile,4950.0,,,
10030102001,IRAP,1990.23,,,
