Attivo - Conto,Attivo - Descrizione,Attivo - Importo €,Passivo - Conto,Passivo - Descrizione,Passivo - Importo €
02010101001,Spese di costituzione e trasformazione,984.31,04010101001,Capitale sociale,10000.0
02010101801,Fondi di amm.to spese costit. e trasformazione,-984.31,04040101001,Riserva legale,5970.0
02010401001,Software,264.0,04070101001,Riserva straordinaria,99728.66
02010401801,Fondo di amm.to software,-264.0,05030101005,Quota corrente mutui,53980.44
02010704001,Oneri pluriennali preammortamento,2490.0,05030201009,Mutuo chirografario B.RIPATRANSONE n.04/21/00561,136.5
02010704801,Fondo di amm.to oneri pluriennali preammortamento,-2490.0,05030201010,Mutuo B.RIPATRANSONE n.004/400491/01,9539.83
02020102001,Fabbricati Commerciali,24790.0,05030201011,FINANZIAMENTO MO.NET SPA - 3111,144111.38
02020102801,Fondo di amm.to fabbricati commerciali,-910.78,05040104001,Debiti tributari IRES anni precedenti,13397.27
02020103001,Fabbricati civili,20000.0,05040204001,Debiti tributari IRAP anni precedenti,1591.42
02020201001,Impianto,12900.0,05040205001,Debiti verso altri soggetti (OE),4374.23
02020201801,Fondo di amm.to impianto,-5720.0,05040205002,DEBITI PER RIMBORSO SPESE ANTICIPATE O DA ANTICIPARE,8964.35
02020202001,Macchinario,25944.97,05050101001,Anticipi da clienti (EE),56000.0
02020202801,Fondo amm.to macchinario,-16775.67,05050101003,Caparre (EE),500.0
02020303001,Attrezzature varia e minuta,1083.5,05060101001,Fornitori di beni e servizi (EE),193521.77
02020303801,Fondo di amm.to attrezzature varia e minuta,-1083.5,05060101002,Fatture da ricevere (EE),38757.05
02020402001,Macchine di ufficio,3831.1,05090201002,Crediti v/partecipata,-9483.64
02020402801,Fondo di amm.to macchine di ufficio,-3107.52,05110101002,Erario c/IRAP,20389.84
02020403001,Automezzi,9659.0,05110101004,Ritenute d'acconto dipendenti 1001-1012-1003-1015,89929.61
02020403801,Fondo di amm.to automezzi,-6450.0,05110101005,Erario c/imposta sostitutiva,613.05
02030102001,Partecipazioni in imprese collegate,50000.0,05110101007,Cassa Edile,-1876.95
02030207001,Crediti verso altri (EE),227718.82,05110101008,Erario c/IRES,35836.19
02030207003,Depositi cauzionali in denaro (EE),32.43,05110201004,Ritenute d' acconto professionisti 1040/1038,2689.89
02030208003,Depositi cauzionali in denaro (OE),9500.0,05120101002,INPS (EE),13737.73
02030208005,Fondo comune rete RENOVO,50.0,05120101003,INAIL c/contributi,10951.69
03010402011,Merci oggetto di commercializzazione,5000.0,05130101014,Dipendenti c/salari,32505.48
03020101001,Clienti (EE),103460.49,11020201001,Ratei passivi su interessi passivi,858.62
03020101010,Portafoglio Effetti attivi Banca Credito Cooperativo,62192.84,11020201002,Ratei passivi generici,2536.67
03020101023,Portafoglio effetti attivi BANCO DESIO,20000.0,11020202010,Risconti passivi,8130.93
03020101901,Fondi di svalut.crediti verso clienti esigib.(EE),-4374.68,13010101001,Fondo TFR,66679.58
03020501001,Crediti verso l'Erario per ritenute subite (EE),13106.61,nan,nan,nan
03020501003,Crediti verso soci,132746.12,nan,nan,nan
03020501011,Credito IVA (EE),89948.0,nan,nan,nan
03020501014,Credito DL 66/14 - Trattamento DL3/20,-1619.99,nan,nan,nan
03020501015,Credito ECOBONUS ART.14 D.L.N.63/2013,13200.0,nan,nan,nan
03020501018,Credito SCONTO SUPERBONUS ART.119 D.L.34/20 - COD.TRIB.7711,172934.25,nan,nan,nan
03020501019,Credito SUPERBONUS 119 D.L.n. 34/2020 COD.TRIB.7719,42756.0,nan,nan,nan
03020502003,Crediti verso altri soggetti (OE),2000.0,nan,nan,nan
03020502014,Crediti per imposte anticipate,9142.66,nan,nan,nan
03030401001,Partecipazione CONAI,7.39,nan,nan,nan
03040101004,Banca del Piceno Credito Cooperativo,-62437.64,nan,nan,nan
03040101006,Competenze bancarie da liquidare,-9364.0,nan,nan,nan
03040101011,CARTA PREPAGATA 8316 BPER BANCA SPA,227.19,nan,nan,nan
03040101012,CARTA REVOLUT BUSINESS 7919,61.78,nan,nan,nan
03040101015,Banca di Credito Cooperativo Picena c/anticipi,-35555.45,nan,nan,nan
03040101017,BANCO DI DESIO E DELLA BRIANZA S.p.A.,-20100.58,nan,nan,nan
03040301001,Cassa e monete nazionali,4669.83,nan,nan,nan
03040303001,Cassa valori bollati,96.0,nan,nan,nan
05110101010,Erario c/rit. su interessi attivi,0.01,nan,nan,nan
11010202010,Risconti attivi,38849.82,nan,nan,nan
